key,household_id,enumerator,barangay,interview_date,form_version,duration_minutes,consent,hh_size,children_under_15,ppi_q1_floor_solid,ppi_q2_has_toilet,ppi_q3_has_electricity,ppi_q4_has_tv,ppi_q5_has_fridge,ppi_q6_head_completed_primary,ppi_q7_roof_durable,ppi_q8_has_mobile_phone,ppi_q9_owns_livestock,ppi_q10_has_savings,ppi_score,poverty_likelihood,enum_id,enum_team_id,phone_number,asset_main,asset_other,field_comments_id,textaudit_id,starttime,endtime
uuid:000000000001,HH001,Dina,South,2026-06-05,2,22,1,1,2,1,1,0,0,1,1,1,0,0,1,60,38.1,4,2,09100000001,1,,Comments-000000000001,TA_000000000001,2026-06-05T08:05:00Z,2026-06-05T08:27:00Z
uuid:000000000002,HH002,Ana,East,2026-06-07,2,33,1,9,5,0,0,0,0,0,1,1,0,0,0,20,78,1,1,09100000002,1,,Comments-000000000002,TA_000000000002,2026-06-07T08:10:00Z,2026-06-07T08:43:00Z
uuid:000000000003,HH003,Ben,East,2026-06-11,2,16,1,4,2,1,0,0,0,1,0,1,0,0,1,40,63.2,2,1,09100000003,1,,Comments-000000000003,TA_000000000003,2026-06-11T08:15:00Z,2026-06-11T08:31:00Z
uuid:000000000004,HH004,Dina,West,2026-06-03,2,20,1,7,0,1,0,0,0,1,0,1,1,0,1,50,64.2,4,2,09100000004,1,,Comments-000000000004,TA_000000000004,2026-06-03T08:20:00Z,2026-06-03T08:40:00Z
uuid:000000000005,HH005,Dina,West,2026-06-06,2,42,1,5,2,0,0,1,1,0,1,0,0,1,1,50,44.1,4,2,09100000005,1,,Comments-000000000005,TA_000000000005,2026-06-06T08:25:00Z,2026-06-06T09:07:00Z
uuid:000000000006,HH006,Ana,South,2026-06-05,2,19,1,5,4,0,1,1,1,0,1,0,0,1,1,60,39.8,1,1,09100000006,1,,Comments-000000000006,TA_000000000006,2026-06-05T08:30:00Z,2026-06-05T08:49:00Z
uuid:000000000007,HH007,Ana,North,2026-06-02,2,16,0,7,0,0,1,0,0,0,0,1,0,1,0,30,76,1,1,09100000007,99,solar lamp,Comments-000000000007,TA_000000000007,2026-06-02T08:35:00Z,2026-06-02T08:51:00Z
uuid:000000000008,HH007,Dina,West,2026-06-05,2,28,1,3,1,1,1,1,1,1,0,1,0,0,0,60,39.6,4,2,09100000008,1,,Comments-000000000008,TA_000000000008,2026-06-05T08:40:00Z,2026-06-05T09:08:00Z
uuid:000000000009,HH009,Carlo,West,2026-06-01,2,14,0,7,0,0,1,1,1,0,0,0,1,1,1,60,46.6,3,2,09100000009,1,,Comments-000000000009,TA_000000000009,2026-06-01T08:45:00Z,2026-06-01T08:59:00Z
uuid:000000000010,HH010,Ben,West,2026-06-03,2,27,1,4,4,1,1,0,0,1,0,0,0,1,1,50,50.9,2,1,09123456789,1,,Comments-000000000010,TA_000000000010,2026-06-03T08:50:00Z,2026-06-03T09:17:00Z
